"tconst","averageRating","numVotes","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","parentTconst","seasonNumber","episodeNumber"
"tt11173308",7.5,1350,"tvSeries","Porodica","Porodica",0,"2021","\N","\N","Drama,History",NA,NA,NA
"tt11173390",7.6,226,"tvEpisode","Episode #1.1","Episode #1.1",0,"2020","\N","56","Drama,History,Thriller","tt10394886","1","1"
"tt11173392",7.3,200,"tvEpisode","Episode #1.2","Episode #1.2",0,"2020","\N","59","Drama,History,Thriller","tt10394886","1","2"
"tt11173394",7.2,176,"tvEpisode","Episode #1.3","Episode #1.3",0,"2020","\N","59","Drama,History,Thriller","tt10394886","1","3"
"tt1117646",6.7,4392,"tvMovie","The Special Relationship","The Special Relationship",0,"2010","\N","93","Biography,Drama,History",NA,NA,NA
"tt11177422",6.3,39,"tvEpisode","Vlad the Impaler vs Count Dracula","Vlad the Impaler vs Count Dracula",0,"2019","\N","3","Comedy,History,Music","tt2039625","6","7"
"tt11178470",8,8,"tvEpisode","Namedni-1955","Namedni-1955",0,"2019","\N","37","Documentary,History","tt10976260","2","4"
"tt11178948",7.3,37,"tvEpisode","King Arthur's Lost Kingdom","King Arthur's Lost Kingdom",0,"2019","\N","\N","Documentary,History,Mystery","tt0354333","17","3"
"tt11179800",7.3,7,"movie","El Achiq","El Achiq",0,"2017","\N","100","History",NA,NA,NA
"tt1118153",7.7,27,"tvSeries","The Fabulous Picture Show","The Fabulous Picture Show",0,"2006","2011","\N","History,Talk-Show",NA,NA,NA
"tt1118252",6.8,8,"tvEpisode","Accidental Archaeology","Accidental Archaeology",0,"2005","\N","23","Documentary,History","tt0487002","1","7"
"tt1118253",8.2,5,"tvEpisode","Biblical Epicentre","Biblical Epicentre",0,"2006","\N","23","Documentary,History","tt0487002","1","22"
"tt1118254",7.2,8,"tvEpisode","Biblical Food","Biblical Food",0,"2005","\N","23","Documentary,History","tt0487002","1","8"
"tt1118255",6.8,8,"tvEpisode","Crucifixion","Crucifixion",0,"2005","\N","23","Documentary,History","tt0487002","1","14"
"tt1118256",6.8,20,"tvEpisode","Delilah's People","Delilah's People",0,"2005","\N","23","Documentary,History","tt0487002","1","1"
"tt1118257",7.1,8,"tvEpisode","Fame & Forgery?","Fame & Forgery?",0,"2005","\N","23","Documentary,History","tt0487002","1","6"
"tt1118258",7,7,"tvEpisode","Holy Hot Spot","Holy Hot Spot",0,"2006","\N","23","Documentary,History","tt0487002","1","21"
"tt1118259",6.7,13,"tvEpisode","Jerusalem & The Black Prince","Jerusalem & The Black Prince",0,"2005","\N","23","Documentary,History","tt0487002","1","3"
"tt1118260",7,9,"tvEpisode","Jesus: The Early Years","Jesus: The Early Years",0,"2005","\N","23","Documentary,History","tt0487002","1","9"
"tt1118261",7,8,"tvEpisode","Jezebel: Bible Bad Girl","Jezebel: Bible Bad Girl",0,"2005","\N","23","Documentary,History","tt0487002","1","16"
"tt1118262",7.1,11,"tvEpisode","John the Baptist","John the Baptist",0,"2005","\N","23","Documentary,History","tt0487002","1","10"
"tt1118263",6.9,7,"tvEpisode","Joshua","Joshua",0,"2006","\N","23","Documentary,History","tt0487002","1","18"
"tt1118264",6.6,8,"tvEpisode","King David","King David",0,"2005","\N","23","Documentary,History","tt0487002","1","15"
"tt1118265",7.3,9,"tvEpisode","Last Man Standing","Last Man Standing",0,"2005","\N","23","Documentary,History","tt0487002","1","13"
"tt1118266",6.8,8,"tvEpisode","Masada","Masada",0,"2006","\N","23","Documentary,History","tt0487002","1","19"
"tt1118267",7.1,9,"tvEpisode","Real or Fake?","Real or Fake?",0,"2005","\N","23","Documentary,History","tt0487002","1","5"
"tt1118268",7,8,"tvEpisode","Return of the Hilazon","Return of the Hilazon",0,"2005","\N","23","Documentary,History","tt0487002","1","12"
"tt1118269",7.2,8,"tvEpisode","The Mother of Archaeology","The Mother of Archaeology",0,"2006","\N","23","Documentary,History","tt0487002","1","23"
"tt1118270",7,8,"tvEpisode","The Oldest Leper","The Oldest Leper",0,"2005","\N","23","Documentary,History","tt0487002","1","17"
"tt1118271",7,10,"tvEpisode","True Blue","True Blue",0,"2005","\N","23","Documentary,History","tt0487002","1","11"
"tt1118272",7.1,12,"tvEpisode","What Killed Herod?","What Killed Herod?",0,"2005","\N","23","Documentary,History","tt0487002","1","4"
"tt1118273",7,8,"tvEpisode","Who Wrote the Bible?","Who Wrote the Bible?",0,"2006","\N","23","Documentary,History","tt0487002","1","24"
